Date,Call_Max_Daily,Put_Max_Daily,equity_open,high_equity,low_equity,close_equity,Max,weekday,spy_direction_lag1,intraday_range_lag1,spy_direction_lag2,day_classification,d1,d2,d3,d4,d5,weekday_encoded
2023-05-16,1.146025878003697,2.545454545454546,412.64,412.815,410.24,410.25,2.545454545454546,Tuesday,1.490000000000009,3.1999999999999886,-1.8549999999999613,high,average,very_high,average,high,low,3
2023-05-17,6.488372093023256,2.0344827586206895,411.96,415.855,410.635,415.21,6.488372093023256,Wednesday,-2.3899999999999864,2.5749999999999886,1.490000000000009,very_high,high,average,very_high,average,high,4
2023-05-18,5.625,1.0786127167630057,415.095,419.67,414.79,419.23,5.625,Thursday,3.25,5.220000000000027,-2.3899999999999864,very_high,very_high,high,average,very_high,average,2
2023-05-19,1.076923076923077,2.7027027027027026,420.51,420.72,417.35,418.61,2.7027027027027026,Friday,4.134999999999991,4.8799999999999955,3.25,high,very_high,very_high,high,average,very_high,0
2023-05-22,1.0822669104204754,1.4827586206896552,419.695,420.24,417.35,418.78,1.4827586206896552,Monday,-1.8999999999999773,3.3700000000000045,4.134999999999991,low,high,very_high,very_high,high,average,1
2023-05-23,1.2222222222222223,3.1034482758620694,417.27,418.722,413.68,414.09,3.1034482758620694,Tuesday,-0.9150000000000205,2.8899999999999864,-1.8999999999999773,high,low,high,very_high,very_high,high,3
2023-05-24,1.0994694960212201,1.657142857142857,411.77,412.82,409.8795,411.09,1.657142857142857,Wednesday,-3.180000000000007,5.041999999999973,-0.9150000000000205,average,high,low,high,very_high,very_high,4
2023-06-01,10.18421052631579,1.0157194679564692,417.32,422.92,416.79,421.81,10.18421052631579,Thursday,-0.6800000000000068,2.940499999999986,-3.180000000000007,very_high,average,high,low,high,very_high,2
2023-06-02,2.297297297297297,2.2307692307692304,426.02,428.74,423.95,427.91,2.297297297297297,Friday,4.490000000000009,6.1299999999999955,-0.6800000000000068,high,very_high,average,high,low,high,0
2023-06-05,1.1424050632911391,2.1157894736842104,428.99,429.62,426.37,427.1,2.1157894736842104,Monday,1.8900000000000432,4.7900000000000205,4.490000000000009,high,high,very_high,average,high,low,1
2023-06-06,2.5625,1.033210332103321,426.46,428.5772,426.2901,428.04,2.5625,Tuesday,-1.8899999999999864,3.25,1.8900000000000432,high,high,high,very_high,average,high,3
